Track Name,Album Name,Artist Name(s),Release Date,Popularity,Genres,Danceability,Energy,Key,Speechiness,Acousticness,Instrumentalness,Liveness,Tempo,Song Number,Message
Bizarre Love Triangle,Brotherhood,New Order,1986-09-29,64,"alternative rock,dance rock,madchester,new romantic,new wave,permanent wave,post-punk,synthpop,uk post-punk",0.613,0.885,10,0.052,0.0804,0.746,0.0997,118.506,28,"The week I played this song for Finn, he played it in the apartement every morning for us. Nolan and I would scramble ot of our rooms and he would greet us, dancing and cooking eggs"
Blue Moon,Solitude,Billie Holiday,1956-01-01,66,"adult standards,harlem renaissance,jazz,jazz blues,soul,swing,torch song,vocal jazz",0.64,0.27,8,0.0702,0.982,0.122,0.141,124.323,29,This used to be my go-to study album
Dreams Tonite,Antisocialites,Alvvays,2017-09-08,38,"art pop,chamber pop,dream pop,dreamo,indie pop,indie rock,noise pop,shoegaze,toronto indie",0.511,0.622,2,0.0242,0.0108,4.51e-06,0.127,99.934,30,Carson gifted me this album on CD the morning I left for university
Clementine,Elliott Smith,Elliott Smith,1995-07-01,54,"alternative rock,indie rock,melancholia,singer-songwriter",0.583,0.172,0,0.0453,0.202,0.57,0.134,141.983,31,"Erik's favourite song of all time; he would always play it when we hung out and would shush us to sing the chorus"0
I Want You,I Want You,Marvin Gaye,1976-03-16,60,"classic soul,motown,neo soul,northern soul,quiet storm,soul",0.515,0.793,1,0.034,0.849,0.317,0.236,100.551,32,There was strong subliminal messaging doing on when I sent you this song
Eternal Life,Grace,Jeff Buckley,1994,53,"melancholia,permanent wave,singer-songwriter",0.514,0.983,9,0.0887,0.00179,1.22e-05,0.169,95.877,33,"One of the first albums I sent you, way back when, and for a day we traded lyrics from its songs over text"
The Lazarus Heart,...Nothing Like The Sun,Sting,1987-10-16,36,"permanent wave,soft rock,sophisti-pop",0.602,0.726,5,0.0452,0.0163,0.000559,0.331,120.012,34,"I sent you this song the day I asked you to be mine (in hindsight I should have sent you something more personal)"
Girlfriend Is Better,Speaking in Tongues,Talking Heads,1983-05-31,51,"alternative rock,art punk,dance rock,funk rock,new wave,permanent wave,post-punk,rock,zolo",0.865,0.752,7,0.0941,0.0892,0.000626,0.0401,118.649,35,"I had imagined sending you this song the day we went official from the moment I started Song of the Day, so I did (the next day)"
High,Big Day,Slow Pulp,2019-05-15,57,"bubblegrunge,chicago indie,countrygaze,midwest shoegaze,nu gaze",0.545,0.434,10,0.0292,0.157,2.63e-05,0.0828,139.828,36,"Our first concert as a couple! I would love to see them again soon"
Noblest Strive,333,Bladee,2020-07-16,41,"cloud rap,drain,glitchcore,underground hip hop",0.625,0.428,0,0.0783,0.582,9.03e-06,0.11,148.07,37,"YOU actually requested this as the Song of the Day and, in that moment, I knew you were the one"
#3,Selected Ambient Works Volume II,Aphex Twin,1994-03-07,60,"ambient,braindance,electronica,intelligent dance music,uk experimental electronic",0.159,0.071,6,0.0409,0.911,0.856,0.107,146.977,38,Marty and I would play this nearly everytime we hung out in 1st Year
Killer,Stranger in the Alps,Phoebe Bridgers,2017-09-22,55,"indie pop,la indie,pov: indie",0.326,0.127,0,0.0368,0.972,5.63e-06,0.113,171.668,39,"This pick brought you to tears, I remember"
Sugar for the Pill,Slowdive,Slowdive,2017-05-05,57,"alternative rock,dream pop,reading indie,shoegaze",0.534,0.536,7,0.0244,0.209,0.835,0.113,98.018,40,"I picked up this album on vinyl in Amsterdam (yeah, I've been to Amsterdam - not a big deal)"
Louise,French Exit,TV Girl,2014-06-05,68,pov: indie,0.727,0.919,0,0.0285,0.165,0.0111,0.306,115.816,41,Male Manipulator Must-Listen
Chan Chan - Live,Buena Vista Social Club at Carnegie Hall (Live),Buena Vista Social Club,2008-10-13,0,"latin jazz,musica tradicional cubana,world",0.442,0.863,4,0.0603,0.594,0.00032,0.981,155.225,42,A song our childhoods shared in common
Land: Horses / Land of a Thousand Dances / La Mer(de),Horses,Patti Smith,1975-12-13,28,"art punk,permanent wave,protopunk,singer-songwriter",0.478,0.639,9,0.274,0.0725,6.13e-05,0.28,148.555,43,PATTI!! When you said you enjoyed this album I knew I had to get you Just Kids
These Arms of Mine,Pain in My Heart,Otis Redding,1964,65,"classic soul,memphis soul,soul,soul blues,southern soul,vocal jazz",0.403,0.284,10,0.0338,0.798,0.0,0.142,176.537,44,One of the best vocalist ever
