Track Name,Album Name,Artist Name(s),Release Date,Popularity,Genres,Danceability,Energy,Key,Speechiness,Acousticness,Instrumentalness,Liveness,Tempo,Song Number,Message
Short Skirt / Long Jacket,Comfort Eagle,CAKE,2001-07-24,63,"alternative rock,pop rock,post-grunge,sacramento indie",0.771,0.809,2,0.0461,0.003,0.0223,0.0252,120.038,120
Be Here to Love Me,Our Mother the Mountain,Townes Van Zandt,1969-04,35,"alternative country,classic texas country,cosmic american,folk,outlaw country,roots rock,singer-songwriter",0.621,0.366,11,0.0288,0.632,0.0,0.15,100.815,121
Comfortable,Tha Carter III,"Lil Wayne,Babyface",2008-06-10,49,"hip hop,new orleans rap,pop rap,rap,trap,contemporary r&b,r&b,urban contemporary",0.596,0.831,6,0.0871,0.0169,2.61e-05,0.585,94.199,122
Can We Pretend,'Justments,Bill Withers,1974-08-08,51,"classic soul,funk,quiet storm,soul",0.596,0.313,9,0.044,0.853,0.201,0.0601,82.067,123
Virtual Insanity,Driving Songs,Jamiroquai,2005-01-01,68,dance pop,0.662,0.949,6,0.108,0.128,0.0,0.135,91.954,124
What Difference Does It Make? - John Peel Session,Hatful of Hollow,The Smiths,1984,50,"madchester,new wave,permanent wave,rock,uk post-punk",0.371,0.962,1,0.0611,6.26e-05,0.000227,0.0942,158.896,125
Wriding,Lowercase,Bluetile Lounge,1995-10-10,26,slowcore,0.376,0.246,2,0.0323,0.816,0.105,0.146,120.593,126
Sugar and Spice (I Found Me a Girl),Never Too Much,Luther Vandross,1981-07-23,45,"quiet storm,soul",0.689,0.649,5,0.0665,0.182,0.0,0.161,110.508,127
dio,gelato,"boylife,Bearface",2021-10-08,31,modern indie pop,0.778,0.46,6,0.0389,0.314,0.000505,0.134,114.001,128
Blue Ridge Mountains,Fleet Foxes,Fleet Foxes,2008-06-03,62,"chamber pop,folk,indie folk,indie rock,indietronica,modern rock,seattle indie,singer-songwriter,stomp and holler",0.533,0.426,8,0.0273,0.708,0.000488,0.101,97.905,129
Vegas,Masterpiece,Big Thief,2016,49,"art pop,brooklyn indie,chamber pop,countrygaze,indie pop,indie rock,pov: indie,small room",0.624,0.664,9,0.0302,0.0888,0.00961,0.118,127.76,130
Poison Oak,"I'm Wide Awake, It's Morning",Bright Eyes,2005-01-25,43,"chamber pop,indie rock,melancholia,omaha indie,stomp and holler",0.408,0.186,9,0.0337,0.121,0.00949,0.13,99.145,131
Rhinestone Eyes,Plastic Beach,Gorillaz,2010-03-03,75,"alternative hip hop,modern rock,rock",0.676,0.703,8,0.0302,0.0869,0.000687,0.0463,92.761,132
Don't Ask,E,Ecco2k,2019-11-27,42,"cloud rap,drain,glitchcore,hyperpop",0.657,0.506,2,0.0315,0.721,0.0,0.166,132.015,133
Everybody Does,Sprained Ankle,Julien Baker,2015-10-23,0,"ambient folk,indie pop",0.656,0.181,5,0.0322,0.852,0.0,0.061,111.438,134
Happy Birthday,Hotter Than July,Stevie Wonder,1980-09-29,6,"motown,soul",0.779,0.571,1,0.0427,0.00511,1.16e-05,0.0532,116.197,135
Run Away With Me,E·mo·tion,Carly Rae Jepsen,2015-08-21,37,"dance pop,pop",0.564,0.719,1,0.0475,0.0126,0.000177,0.0537,119.023,136
Miami Ultras,Warlord,Yung Lean,2016-02-25,0,"cloud rap,psychedelic hip hop,underground hip hop",0.577,0.518,1,0.0337,0.00344,0.0012,0.173,105.029,137
Left And Right,Voodoo,"D'Angelo,Redman,Method Man",2000-01-01,43,"indie soul,neo soul,soul,east coast hip hop,hardcore hip hop,new jersey rap,wu fam,hip hop",0.842,0.404,1,0.628,0.219,0.0,0.369,91.963,138
Quiet Life,Quiet Life,Japan,1979,0,"melancholia,new romantic,new wave,synthpop",0.666,0.747,4,0.0368,0.000741,0.0605,0.108,131.014,139
Dramamine,This Is a Long Drive for Someone with Nothing to Think About,Modest Mouse,1996-04-16,56,"alternative rock,chamber pop,indie rock,indietronica,modern rock,washington indie",0.378,0.736,4,0.0407,0.326,0.105,0.107,182.672,140
Still into You,Paramore,Paramore,2013-04-05,78,"candy pop,modern rock,pixie,pop,pop emo,pop punk,rock",0.602,0.923,5,0.044,0.0098,0.0,0.0561,136.01,141
Androgynous,Let It Be,The Replacements,1984,42,"alternative rock,permanent wave,post-punk,power pop,punk,singer-songwriter",0.476,0.361,11,0.0287,0.518,0.0,0.0817,106.484,142
"Mama, You Been On My Mind",The Bootleg Series Volumes 1-3 1961-1991,Bob Dylan,1991-03-26,38,"classic rock,country rock,folk,folk rock,rock,roots rock,singer-songwriter",0.472,0.131,11,0.0484,0.871,0.0,0.118,174.459,143
Damaged Goods,Entertainment!,Gang Of Four,1979-09-25,52,"alternative rock,art punk,dance rock,funk rock,post-punk,punk,uk post-punk",0.744,0.721,0,0.0899,0.025,0.0466,0.155,157.188,144
Je t'aime,Tres Tres Fort,Staff Benda Bilili,2009,7,desert blues,0.665,0.868,10,0.114,0.244,0.0119,0.108,118.571,145
Sextape,Diamond Eyes,Deftones,2008,75,"alternative metal,nu metal,rap metal,rock,sacramento indie",0.367,0.634,5,0.027,0.000824,0.0759,0.116,89.981,146
I Couldn't Love You More,Love,Sade,1992-10-26,57,"british soul,sophisti-pop",0.749,0.16,7,0.0307,0.79,0.227,0.122,98.148,147
Linger,"Everybody Else Is Doing It, So Why Can't We?",The Cranberries,1993-03-01,83,"irish rock,pop rock,rock",0.439,0.434,7,0.0265,0.0783,5.18e-05,0.14,94.843,148
"Alone, Omen 3",Man Alive!,King Krule,2020-02-21,37,uk alternative pop,0.518,0.537,2,0.026,0.147,0.752,0.339,66.291,149
Let's Dance,Let's Dance,David Bowie,1983-04-14,68,"art rock,classic rock,glam rock,permanent wave,rock",0.654,0.743,10,0.0605,0.0125,0.0272,0.153,114.846,150
New Directions,Together,Duster,2022-04-01,36,"corecore,dream pop,pov: indie,slowcore",0.649,0.168,7,0.0331,0.266,0.812,0.176,100.942,151
Toumei,Celestially Light,"Albert Karch,Ichiko Aoba",2019-11-08,23,j-acoustic,0.386,0.0063,3,0.0543,0.993,0.107,0.124,65.842,152
(It Goes Like) Nanana,(It Goes Like) Nanana,Peggy Gou,2023-06-15,75,"electra,float house",0.671,0.876,7,0.0352,0.12,0.188,0.0823,129.998,153
Spellbound,Juju,Siouxsie and the Banshees,1981,62,"alternative rock,dream pop,new romantic,new wave,post-punk,punk,uk post-punk",0.415,0.853,7,0.038,0.0107,0.000499,0.536,148.494,154
Nutshell,Jar Of Flies,Alice In Chains,1994,73,"alternative metal,alternative rock,grunge,hard rock,nu metal,rock",0.384,0.561,3,0.0296,0.373,0.253,0.0775,136.136,155
Alien Love Call,New Heart Designs,"Turnstile,BADBADNOTGOOD,Blood Orange",2023-08-11,55,"hardcore punk,modern melodic hardcore,canadian modern jazz,indie soul,alternative r&b,art pop,escape room,indietronica,metropopolis",0.606,0.583,4,0.0284,0.00633,0.404,0.193,125.974,156
I Know,When The Pawn...,Fiona Apple,1999-11-09,60,"art pop,chamber pop,dark pop,lilith,permanent wave,piano rock,singer-songwriter",0.324,0.211,0,0.0287,0.944,0.0031,0.118,146.367,157
Radio Cure,Yankee Hotel Foxtrot,Wilco,2002,32,"alternative country,alternative rock,chicago indie,folk,indie rock,roots rock,stomp and holler",0.484,0.203,9,0.0342,0.471,0.0429,0.111,79.053,158
Perfect Day,Transformer,Lou Reed,1972-12-01,65,"classic rock,glam rock,permanent wave,rock,singer-songwriter",0.4,0.267,10,0.0323,0.744,0.00734,0.103,144.799,159
My City Was Gone,Learning to Crawl,Pretenders,1984,40,"album rock,classic rock,mellow gold,new romantic,new wave,new wave pop,permanent wave,rock,soft rock",0.75,0.782,9,0.0244,0.181,0.54,0.142,107.699,160
Message personnel,Message personnel,Françoise Hardy,1973-11-24,54,"chanson,ye ye",0.366,0.412,7,0.0367,0.641,0.0731,0.126,127.395,161
All I Need,Instrumentals,Clams Casino,2011-03-07,48,"cloud rap,experimental hip hop,instrumental hip hop,psychedelic hip hop",0.259,0.484,8,0.0448,0.277,0.79,0.21,105.017,162
Ode To The Mets,The New Abnormal,The Strokes,2020-04-10,66,"alternative rock,garage rock,modern rock,permanent wave,rock",0.426,0.617,1,0.0289,0.341,0.181,0.101,92.002,163
Lust For Life,Lust For Life,Iggy Pop,1977-01-01,34,"alternative rock,glam rock,permanent wave,protopunk,rock",0.201,0.943,9,0.0546,0.0125,0.0,0.139,203.261,164
Thick As Thieves,Setting Sons,The Jam,1979-11-17,21,"mod revival,new romantic,new wave,punk,ska revival",0.348,0.942,4,0.0435,0.000244,0.001,0.0984,166.644,165
Curls,Madvillainy,"Madvillain,Madlib,MF DOOM",2004-03-24,56,"abstract hip hop,alternative hip hop,hip hop,psychedelic hip hop,instrumental hip hop,east coast hip hop,rap",0.533,0.724,7,0.311,0.275,4.59e-06,0.118,89.862,166
100,BLACK METAL,Dean Blunt,2014-11-03,64,"collage pop,hypnagogic pop,uk experimental electronic",0.613,0.807,10,0.0246,0.000406,0.065,0.267,102.205,167
The Way That I Do,Private Space,"Durand Jones & The Indications,Aaron Frazer",2021-07-30,0,souldies,0.71,0.536,8,0.0485,0.243,0.0667,0.0674,115.042,168
Hangover,TY.O,"Taio Cruz,Flo Rida",2011-01-01,70,"dance pop,pop,pop rap,miami hip hop",0.606,0.883,3,0.0423,0.00872,0.0,0.0698,128.053,169
Simulation Swarm,Dragon New Warm Mountain I Believe In You,Big Thief,2022-02-11,66,"art pop,brooklyn indie,chamber pop,countrygaze,indie pop,indie rock,pov: indie,small room",0.703,0.578,1,0.0728,0.446,0.0024,0.102,105.204,170
This Time Tomorrow,"Lola vs. Powerman and the Moneygoround, Pt. One + Percy",The Kinks,2014-10-20,0,"album rock,art rock,british invasion,classic rock,folk rock,glam rock,protopunk,psychedelic rock,rock,singer-songwriter",0.405,0.751,4,0.0476,0.166,0.00283,0.137,128.794,171
Milk,You Will Never Know Why,Sweet Trip,2009,53,"dream pop,glitchbreak,hyper-rock,shoegaze",0.325,0.279,9,0.0304,0.529,0.289,0.192,148.861,172
Ghosts,Psykos,"Yung Lean,Bladee",2024-03-13,0,"cloud rap,psychedelic hip hop,underground hip hop,drain,glitchcore",0.476,0.858,1,0.0305,0.0505,2.5e-06,0.603,100.988,173
When You're Gone,To The Faithful Departed,The Cranberries,1996-04-30,62,"irish rock,pop rock,rock",0.454,0.524,3,0.0267,0.351,4.32e-05,0.0691,186.762,174
In Love With You,Mama's Gun,"Erykah Badu,Stephen Marley",2000-10-31,54,"afrofuturism,alternative r&b,neo soul,r&b,reggae,roots reggae",0.736,0.268,9,0.0639,0.581,0.0,0.163,132.525,175
Foxey Lady,Are You Experienced,Jimi Hendrix,1967-05-12,56,"acid rock,album rock,alternative rock,classic rock,hard rock,proto-metal,psychedelic rock,rock",0.507,0.847,1,0.0411,0.0751,0.237,0.372,98.096,176
French Toast,Pray for Paris,"Westside Gunn,Wale,Joyce Wrice",2020-04-17,47,"alternative hip hop,boom bap,buffalo hip hop,drumless hip hop,hip hop,upstate ny rap,pop rap,r&b,rap,southern hip hop,trap,alternative r&b",0.477,0.863,4,0.421,0.15,1.25e-06,0.626,81.111,177
Wish You Were Here,Wish You Were Here,Pink Floyd,1975-09-12,75,"album rock,art rock,classic rock,progressive rock,psychedelic rock,rock,symphonic rock",0.481,0.262,7,0.0414,0.735,0.0114,0.832,122.861,178
It Was A Good Day,The Predator,Ice Cube,1992-11-17,78,"conscious hip hop,g funk,gangster rap,hip hop,rap,west coast rap",0.798,0.744,7,0.136,0.33,0.000106,0.292,82.356,179
When Doves Cry,Purple Rain,Prince,1984-06-25,22,"funk,funk rock,minneapolis sound,rock,synth funk",0.729,0.989,9,0.049,0.0102,4.45e-05,0.443,126.47,180
Fool,Fool,Adrianne Lenker,2024-02-20,36,"countrygaze,indie pop,small room",0.513,0.356,3,0.0322,0.913,0.0011,0.101,143.837,181
I Wanna Be Adored,The Stone Roses,The Stone Roses,1989-05-02,64,"britpop,dance rock,madchester",0.494,0.862,4,0.0273,0.012,0.213,0.228,112.596,182
Genesis,Visions,Grimes,2012-02-21,50,"art pop,canadian electropop,grave wave,indietronica,metropopolis,neo-synthpop",0.611,0.676,10,0.0333,0.074,0.0444,0.164,166.047,183
Night in the City,Song to a Seagull,Joni Mitchell,1968-03-01,31,"canadian singer-songwriter,folk,folk rock,singer-songwriter",0.524,0.443,7,0.0331,0.5,0.0,0.0855,116.785,184
The Boxer,Bridge Over Troubled Water,Simon & Garfunkel,1970-01-26,68,"classic rock,folk,folk rock,melancholia,mellow gold,rock,soft rock",0.439,0.488,11,0.0615,0.702,0.000339,0.16,93.017,185
Freedom,Make It Big,Wham!,1984-10-23,57,"new romantic,new wave,new wave pop,soft rock",0.591,0.651,0,0.0424,0.42,1.94e-06,0.129,132.538,186
Love Is Only a Feeling,Love Is Only a Feeling,Joey Bada$$,2017-07-06,76,"conscious hip hop,hip hop,rap",0.629,0.676,1,0.191,0.53,0.000325,0.701,90.377,187
Light My Fire,Mis Favoritas,José Feliciano,2011-09-05,38,"latin pop,puerto rican pop",0.479,0.546,4,0.035,0.708,0.031,0.35,108.372,188
Lilac Wine,Grace,Jeff Buckley,1994,59,"melancholia,permanent wave,singer-songwriter",0.262,0.0847,7,0.04,0.827,4.82e-05,0.0938,180.562,189
If You're Feeling Sinister,If You're Feeling Sinister,Belle and Sebastian,1998-02-02,35,"alternative rock,baroque pop,chamber pop,indie rock,melancholia,scottish indie,scottish rock,singer-songwriter,twee pop",0.587,0.386,6,0.0611,0.447,5.45e-05,0.388,129.774,190
Shameika,Fetch The Bolt Cutters,Fiona Apple,2020-04-17,48,"art pop,chamber pop,dark pop,lilith,permanent wave,piano rock,singer-songwriter",0.375,0.776,8,0.274,0.154,8.16e-05,0.0925,186.814,191
I Want To Touch You,Ferment,Catherine Wheel,1992-06-09,32,"dream pop,grungegaze,nu gaze,shoegaze,spacegrunge",0.395,0.791,11,0.0432,0.000507,8.96e-06,0.338,112.565,192
Across The Universe,Let It Be,The Beatles,1970-05-08,64,"british invasion,classic rock,merseybeat,psychedelic rock,rock",0.257,0.412,1,0.0287,0.361,8.68e-05,0.0702,152.126,193
Runnin',Labcabincalifornia,The Pharcyde,1995-01-01,62,"alternative hip hop,hardcore hip hop,hip hop,jazz rap,west coast rap",0.754,0.785,10,0.18,0.0287,0.00144,0.319,94.123,194
Rose Blood,Among My Swan,Mazzy Star,1996-10-29,60,"dream pop,melancholia,shoegaze,slowcore",0.256,0.319,1,0.0299,0.366,0.718,0.113,83.044,195
I'll Be Here in the Morning,Townes Van Zandt,Townes Van Zandt,1969-09,51,"alternative country,classic texas country,cosmic american,folk,outlaw country,roots rock,singer-songwriter",0.558,0.17,4,0.0331,0.887,0.037,0.113,76.835,196
Almeda,When I Get Home,Solange,2019-03-01,59,"afrofuturism,alternative r&b,r&b,urban contemporary",0.827,0.553,1,0.032,0.0227,1.52e-05,0.176,110.015,197
Kerosene!,Heaven To A Tortured Mind,Yves Tumor,2020-04-03,54,"art pop,escape room,experimental pop,experimental r&b,hypnagogic pop",0.506,0.746,7,0.0307,0.00183,0.0,0.109,130.997,198
Blister in the Sun,Violent Femmes,Violent Femmes,1983,0,"acoustic punk,alternative rock,punk",0.701,0.261,0,0.0938,0.219,0.0,0.0821,97.042,199
Love Story,Fearless,Taylor Swift,2008-11-11,62,pop,0.618,0.741,2,0.031,0.17,0.0,0.0822,118.984,200
KITCHEN LIGHTS,And Then You Pray For Me,"Westside Gunn,Stove God Cooks",2023-10-13,52,"alternative hip hop,boom bap,buffalo hip hop,drumless hip hop,hip hop,upstate ny rap",0.257,0.688,7,0.0536,0.0441,0.0,0.178,76.004,201
Down on Me,Darklands,The Jesus and Mary Chain,1987-08-31,4,"alternative rock,new wave,noise pop,post-punk,scottish indie,scottish shoegaze,shoegaze,singer-songwriter,uk post-punk",0.34,0.939,5,0.05,0.0151,0.825,0.333,154.561,202
Venus as a Boy,Debut,Björk,1993-07-05,54,"alternative rock,art pop,electronica,experimental pop,experimental vocal,icelandic experimental,icelandic pop,icelandic singer-songwriter,metropopolis,permanent wave,trip hop",0.617,0.393,1,0.0353,0.0314,0.00512,0.067,136.213,203
The Bentley Poop Song,Totally Important Name Poop Songs,"The Odd Man Who Sings About Poop, Puke and Pee",2021-12-18,2,comedy rock,0.518,0.13,7,0.0443,0.948,0.254,0.206,157.266,204
Rage,Nasty,Rico Nasty,2018-06-15,49,"alternative r&b,trap queen",0.836,0.901,2,0.321,0.0372,0.000387,0.136,140.031,205
For Love,Spooky,Lush,1992-01-27,52,"alternative rock,britpop,dream pop,shoegaze",0.509,0.611,6,0.0291,0.15,0.0,0.107,129.926,206
Never Could Have Been Worse,Everything But The Girl,Everything But The Girl,1984-09-21,41,"new wave pop,sophisti-pop,trip hop",0.64,0.668,7,0.0365,0.0404,0.000161,0.0554,106.704,207
TL;DR,TL;DR,"Bladee,Ecco2k,Thaiboy Digital",2024-04-19,53,"cloud rap,drain,glitchcore,underground hip hop,hyperpop",0.646,0.842,1,0.0302,0.123,0.00697,0.119,147.038,208
Missed,Rid Of Me,PJ Harvey,1993-01-01,35,"alternative rock,art pop,melancholia,permanent wave,piano rock,singer-songwriter",0.647,0.351,9,0.0266,0.0336,0.00233,0.0495,103.877,209
Peeling off the Bark,Everything So Far,Pinegrove,2015-10-15,33,"countrygaze,new jersey indie,small room",0.32,0.446,9,0.0321,0.0112,8.68e-06,0.111,94.677,210
Cigarettes and Coffee,Sunday Morning Cozy Songs,Otis Redding,2021-06-04,35,"classic soul,memphis soul,soul,soul blues,southern soul,vocal jazz",0.489,0.274,0,0.0398,0.242,0.0,0.149,134.85,211
Les Fleurs,Come To My Garden,Minnie Riperton,1970-11-01,57,"classic soul,disco,funk,motown,quiet storm,soul",0.441,0.499,6,0.0484,0.665,2.87e-06,0.211,151.878,212
Trophies,Rise Of An Empire,"Young Money,Drake",2014-01-01,69,"dirty south rap,pop rap,rap,southern hip hop,trap,canadian hip hop,canadian pop,hip hop",0.744,0.687,1,0.381,0.155,0.0,0.137,143.936,213
Yard Of Blonde Girls,Sketches for My Sweetheart The Drunk,Jeff Buckley,1998-05-26,44,"melancholia,permanent wave,singer-songwriter",0.438,0.662,4,0.0266,0.00255,0.0376,0.318,145.383,214
Movin' Out (Anthony's Song),The Stranger,Billy Joel,1977,65,"album rock,classic rock,mellow gold,piano rock,rock,singer-songwriter,soft rock",0.664,0.88,2,0.0326,0.465,1.63e-05,0.0591,133.898,215
What Does Your Soul Look Like - Pt. 4,Endtroducing.....,DJ Shadow,1996-09-16,0,"downtempo,electronica,instrumental hip hop,trip hop",0.511,0.707,4,0.0304,0.495,0.903,0.179,142.033,216
Bless the Telephone,The Singer & The Song,Labi Siffre,1971,60,classic uk pop,0.567,0.175,2,0.0483,0.978,2.14e-05,0.103,135.521,217
Boots of Spanish Leather,The Times They Are A-Changin',Bob Dylan,1964-01-13,48,"classic rock,country rock,folk,folk rock,rock,roots rock,singer-songwriter",0.615,0.114,8,0.0357,0.926,4e-06,0.166,101.189,218
Romanticist,Heaven To A Tortured Mind,Yves Tumor,2020-04-03,51,"art pop,escape room,experimental pop,experimental r&b,hypnagogic pop",0.583,0.703,7,0.0837,0.0211,1.61e-06,0.535,94.011,219
drivers license,SOUR,Olivia Rodrigo,2021-05-21,82,pop,0.561,0.431,10,0.0578,0.768,1.42e-05,0.106,143.875,220
All Night Long,All Night Long,Chris Stussy,2023-05-26,59,dutch tech house,0.768,0.703,5,0.0466,0.00731,0.278,0.0977,133.01,221
Summertime,Homebase,DJ Jazzy Jeff & The Fresh Prince,1991-07-09,58,"golden age hip hop,old school hip hop,philly rap",0.677,0.539,7,0.063,0.0455,1.84e-06,0.845,95.116,222
Shiraiki,Kagayaki,Masakatsu Takagi,2014-11-19,26,"anime score,j-ambient,japanese soundtrack",0.422,0.0474,7,0.0382,0.992,0.786,0.114,86.736,223
Hunger,MAY GOD BLESS YOUR HUSTLE,MIKE,2017-06-21,67,"alternative hip hop,chill abstract hip hop,indie hip hop",0.389,0.631,10,0.083,0.875,0.0,0.392,137.324,224
Superstar,Deep Divine,Pretty Sick,2020-10-29,48,lo-fi indie,0.554,0.606,7,0.0256,0.152,7.67e-06,0.282,93.991,225
Gentle On My Mind,Bobbie Gentry And Glen Campbell,"Bobbie Gentry,Glen Campbell",1968-01-01,39,"adult standards,arkansas country,classic country pop,folk rock,mellow gold,nashville sound,singer-songwriter,soft rock",0.614,0.509,5,0.0328,0.511,0.0,0.113,112.697,226
Mesmerise,Best Of,Chapterhouse,2007-05-05,38,"dream pop,dreamgaze,nu gaze,reading indie,shoegaze",0.477,0.578,10,0.0312,0.000224,0.169,0.195,88.043,227
You're the Kind of Girl,Faithful Man,"Lee Fields & The Expressions,Lee Fields",2012-03-13,28,"afrobeat,funk,soul,southern soul",0.662,0.761,1,0.0572,0.171,0.0,0.123,98.293,228
Girl With The Tattoo Enter.lewd,All I Want Is You,Miguel,2010-11-26,79,"r&b,urban contemporary",0.372,0.239,6,0.0296,0.856,0.000175,0.168,113.451,229
Nights,Blonde,Frank Ocean,2016-08-20,78,"lgbtq+ hip hop,neo soul",0.457,0.551,5,0.167,0.427,1.15e-06,0.113,89.87,230
Are You Looking Up,Are You Looking Up / You got it,Mk.gee,2023-10-20,36,experimental r&b,0.653,0.513,11,0.0724,0.964,0.693,0.148,153.683,231
Born Slippy,1992 - 2012,Underworld,2014-01-01,65,"big beat,electronica",0.576,0.953,10,0.0362,0.00106,0.49,0.474,140.042,232
I Fall In Love Too Easily,Chet Baker Sings,Chet Baker,1956,66,"cool jazz,jazz,jazz trumpet,vocal jazz",0.532,0.0657,0,0.0406,0.94,0.00488,0.0946,128.607,233
A Message to You Rudy,The Best Of The Specials,The Specials,2008-03-28,0,"britpop,new wave,punk,ska,ska revival",0.906,0.45,0,0.0627,0.149,0.000232,0.168,103.476,234
Onie,I Had Too Much To Dream (Last Night),The Electric Prunes,1967,40,"acid rock,classic garage rock,protopunk,psychedelic rock",0.37,0.14,5,0.0403,0.897,0.206,0.111,111.81,235
Missing,Amplified Heart,Everything But The Girl,1994-06-13,58,"new wave pop,sophisti-pop,trip hop",0.677,0.484,9,0.0325,0.077,4.71e-05,0.134,123.534,236
It's My Life,It's My Life,Talk Talk,1984,67,"melancholia,new romantic,new wave,new wave pop,sophisti-pop,synthpop",0.627,0.802,0,0.0348,0.197,0.784,0.404,126.283,237
Road to Nowhere,Little Creatures,Talking Heads,1985-07-10,55,"alternative rock,art punk,dance rock,funk rock,new wave,permanent wave,post-punk,rock,zolo",0.661,0.713,2,0.0296,0.0361,2.27e-05,0.153,110.364,238
GUIDE DOG,SCRAPYARD,Quadeca,2024-02-16,0,hyper-rock,0.383,0.323,9,0.0551,0.718,0.000112,0.177,174.918,239
"It's All Over Now, Baby Blue","Farewell, Angelina",Joan Baez,1965,33,"american folk revival,folk,folk rock,singer-songwriter",0.622,0.149,4,0.0368,0.872,0.0,0.106,130.438,240
True Love Will Find You in the End,1990,Daniel Johnston,1990-01-01,50,"alternative rock,anti-folk,chamber pop,countrygaze,lo-fi,melancholia,noise pop,outsider",0.551,0.174,10,0.0358,0.948,1.05e-05,0.107,118.656,241
Lose Me On the Way,Bavarian Fruit Bread,Hope Sandoval & The Warm Inventions,2001-10-23,46,"art pop,dream pop,melancholia",0.273,0.38,1,0.0318,0.0404,0.782,0.108,138.726,242
So Far Away,Tapestry,Carole King,1971,60,"brill building pop,classic rock,folk,folk rock,mellow gold,singer-songwriter,soft rock",0.49,0.172,2,0.0372,0.897,3.32e-05,0.0753,143.837,243
I Am You,Heart Under,Just Mustard,2022-05-27,31,"crank wave,irish indie rock,irish post-punk,irish shoegaze",0.448,0.434,9,0.0273,0.00609,0.936,0.0897,79.118,244
Outstanding - Original 12 Mix,The 12 Collection And More (Funk Essentials),The Gap Band,1999-03-05,56,"disco,funk,motown,post-disco,quiet storm,soul",0.792,0.476,6,0.0412,0.372,0.0157,0.027,98.871,245
i just want to hold her,i'll be okay,sign crushes motorist,2022-08-05,62,corecore,0.721,0.0544,11,0.0467,0.991,0.929,0.103,120.03,246
Can't Do Without You,Our Love,Caribou,2014-10-07,51,"alternative dance,art pop,electronica,folktronica,indietronica,intelligent dance music,trip hop",0.691,0.407,0,0.0473,0.79,0.656,0.783,128.035,247
Do What You Gotta Do,Chapter Two,Roberta Flack,1970,35,"adult standards,classic soul,disco,quiet storm,soft rock,soul,vocal jazz",0.448,0.24,5,0.0301,0.71,0.0,0.132,106.57,248
"Good Luck, Babe!","Good Luck, Babe!",Chappell Roan,2024-04-05,93,indie pop,0.7,0.582,11,0.0356,0.0502,0.0,0.0881,116.712,249
Freak,Girl with Fish,feeble little horse,2023-06-09,47,"hyper-rock,lo-fi indie,pennsylvania shoegaze",0.175,0.72,2,0.0586,0.057,0.0104,0.386,179.05,250
In a Moment Divine,Mondo Tempo,"Freak Heat Waves,Cindy Lee",2023-07-12,38,"canadian post-punk,victoria bc indie,experimental indie,hypnagogic pop",0.779,0.889,10,0.0407,0.00137,0.835,0.108,120.007,251
Fly To You,"Desire, I Want To Turn Into You","Caroline Polachek,Grimes,Dido",2023-02-14,52,"art pop,escape room,indie pop,indietronica,canadian electropop,grave wave,metropopolis,neo-synthpop,dance pop,europop,lilith,neo mellow,pop rock",0.469,0.416,8,0.0418,0.105,0.000581,0.0686,161.045,252
Karma Police,OK Computer,Radiohead,1997-05-28,77,"alternative rock,art rock,melancholia,oxford indie,permanent wave,rock",0.36,0.501,7,0.0258,0.0638,9.32e-05,0.172,74.807,253
Write A List of Things To Look Forward To,"Things Take Time, Take Time",Courtney Barnett,2021-11-12,35,"art pop,australian indie,chamber pop,indie pop,indie rock,melbourne indie,noise pop,seattle indie,singer-songwriter,slacker rock",0.495,0.825,8,0.038,7.07e-05,0.000531,0.0921,151.94,254
3's & 7's,Era Vulgaris,Queens of the Stone Age,2007-01-01,53,"alternative metal,alternative rock,grunge,modern rock,palm desert scene,rock,stoner metal,stoner rock",0.438,0.99,10,0.108,0.0651,0.0222,0.359,131.306,255
Two-Headed Boy,In the Aeroplane Over the Sea,Neutral Milk Hotel,1998-02-20,52,"alternative rock,chamber pop,elephant 6,indie rock,lo-fi,noise pop,slacker rock",0.342,0.613,7,0.0311,0.705,0.0,0.14,145.84,256
360 featuring robyn & yung lean,360 featuring robyn and yung lean,"Charli xcx,Robyn,Yung Lean",2024-05-31,55,"art pop,candy pop,metropopolis,pop,uk pop,dance pop,electropop,neo-synthpop,scandipop,swedish electropop,swedish pop,cloud rap,psychedelic hip hop,underground hip hop",0.928,0.649,0,0.054,0.427,0.000179,0.135,120.011,257
IM NOT GOD BUT I WISH I WAS,IM NOT GOD BUT I WISH I WAS,"smokedope2016,Joeyy",2022-08-18,57,cloud rap,0.394,0.757,8,0.155,0.685,0.0196,0.216,124.254,258
My Sputnik Sweetheart,Come In,Weatherday,2019-04-29,35,"5th wave emo,lo-fi emo,lo-fi indie,noise pop",0.232,0.62,6,0.0385,0.708,0.0691,0.11,104.978,259
King Diamond,Team Sleep,Team Sleep,2005-05-09,32,"alternative metal,sacramento indie",0.576,0.964,6,0.116,0.0285,0.252,0.303,83.088,260
Little Red Corvette,1999,Prince,1982-10-27,49,"funk,funk rock,minneapolis sound,rock,synth funk",0.748,0.746,1,0.111,0.281,3.31e-05,0.632,123.144,261
Easy Lovers,Camille 2000,Piero Piccioni,1998-01-11,62,"classic soundtrack,vintage italian soundtrack",0.344,0.333,0,0.0294,0.9,0.422,0.118,70.225,262
Backwards,LSD and the Search for God,LSD and the Search for God,2007-01-16,44,"american shoegaze,dream pop,nu gaze,shoegaze",0.371,0.727,9,0.0341,0.0224,0.953,0.13,137.401,263
